"BGCI.GardenID","CountryCode","Institution","City","State","IHCODE","InstitutionType","Latitude","Longitude"
1136,"RU","Sverdlovsk Dendrological Park","Ekaterinburg","Null","SVEDP","Botanic Garden",56.8378,60.5968
1137,"RU","Botanic Garden of Syktyvkar State University","Syktyvkar","Null","SYKT","Botanic Garden",61.6818,50.8127
1138,"KZ","Introduction Laboratory Arboretum","Szczuczinsk","Null","SZCZU","Botanic Garden",48.0195,66.9236
1139,"TJ","Varzob Mountain Botanical Garden","Varzob","Null","VARZO","Botanic Garden",38.861,71.276
1140,"BY","Botanical Garden of the Institute of Medicine","Vitebsk","Null","VITIM","Botanic Garden",55.2025,28.7091
1141,"BY","Botanic Garden Vitebsk Pedagogical Institute","Vitebsk","Null","VITPI","Botanic Garden",55.2025,28.7091
1142,"RU","Arboretum of the All-Union Institute of","Volgograd","Null","ARVOL","Botanic Garden",48.718,44.5046
1143,"UA","Children's Botanical Garden","Zaporozhye","Null","CHILD","Botanic Garden",47.83709,35.19591
1144,"RU","Khakas Arboretum","Zelenoye","Null","ZELEN","Botanic Garden",47.1599,34.28
1146,"US","Bartlett Arboretum & Gardens","Stamford","Connecticut","BARTA","Botanic Garden",41.1325919,-73.554207
1147,"US","Atlanta Botanical Garden","Atlanta","Georgia","ATLAN","Botanic Garden",33.7916847,-84.3722534
1148,"US","Biblical Garden","New York","New York","BIBGA","Other",40.803804,-73.963059
1149,"US","Blithewold Mansion$$ Gardens and Arboretum","Bristol","Rhode Island","BLITH","Botanic Garden",41.635039,-71.248921
1150,"US","Bok Tower Gardens Conservation Program - Seed Bank","Lake Wales","Florida","BOK","Gene/Seed Bank",27.917506,-81.565976
1151,"US","Brookside Gardens","Wheaton","Maryland","BRKSG","Botanic Garden",39.059672,-77.035038
1153,"US","Toledo Botanical Garden","Toledo","Ohio","CRTOL","Botanic Garden",41.668806,-83.672738
1154,"US","Indianapolis Museum of Art","IndIianapolis","Indiana","LILLY","Botanic Garden",39.8255492,-86.1853981
4425,"CA","City of London Greenhouse and Civic Garden Complex","London","Ontario","Null","Botanic Garden",42.96224,-81.29599
4426,"CA","Abkhazi Garden","Victoria","British Columbia","Null","Botanic Garden",48.415687,-123.32619
1156,"US","Kansas Landscape Arboretum","Wakefield","Kansas","ABIL","Botanic Garden",39.194528,-97.007819
1157,"US","Lockerly Arboretum","Milledgeville","Georgia","LOCKA","Botanic Garden",33.060247,-83.225667
